drug_a,drug_b,rxcui_a,rxcui_b,severity,description,mechanism,source
lisinopril,trimethoprim,29046,,MAJOR,"Hyperkalemia risk","Trimethoprim blocks potassium excretion",curated
lisinopril,valsartan,29046,,MAJOR,"Hyperkalemia / dual RAAS blockade","ACE inhibitor + ARB both raise potassium",curated
lisinopril,candesartan,29046,,MAJOR,"Hyperkalemia / dual RAAS blockade","ACE inhibitor + ARB both raise potassium",curated
lisinopril,lithium,29046,,MAJOR,"Lithium toxicity (levels rise)","ACE inhibitor reduces lithium clearance",curated
losartan,spironolactone,,9925,MAJOR,"Hyperkalemia risk","ARB + potassium-sparing diuretic",curated
losartan,potassium,,,"MAJOR","Hyperkalemia risk","ARB reduces potassium excretion",curated
losartan,lithium,,,"MAJOR","Lithium toxicity (levels rise)","ARB reduces lithium clearance",curated
valsartan,spironolactone,,9925,MAJOR,"Hyperkalemia risk","ARB + potassium-sparing diuretic",curated
valsartan,potassium,,,"MAJOR","Hyperkalemia risk","ARB reduces potassium excretion",curated
enalapril,spironolactone,,9925,MAJOR,"Hyperkalemia risk","ACE inhibitor + potassium-sparing diuretic",curated
ramipril,spironolactone,,9925,MAJOR,"Hyperkalemia risk","ACE inhibitor + potassium-sparing diuretic",curated
spironolactone,potassium,,,"MAJOR","Hyperkalemia risk","Potassium-sparing diuretic + supplement",curated
spironolactone,trimethoprim,,,"MAJOR","Hyperkalemia risk","Both block potassium excretion",curated
spironolactone,ibuprofen,,5640,MODERATE,"Hyperkalemia / renal risk","NSAID + potassium-sparing diuretic",curated
ibuprofen,lithium,5640,,MAJOR,"Lithium toxicity (levels rise)","NSAID reduces lithium clearance",curated
naproxen,lithium,7258,,MAJOR,"Lithium toxicity (levels rise)","NSAID reduces lithium clearance",curated
diclofenac,lithium,,,"MAJOR","Lithium toxicity (levels rise)","NSAID reduces lithium clearance",curated
ibuprofen,methotrexate,5640,,MAJOR,"Methotrexate toxicity (clearance falls)","NSAID reduces methotrexate excretion",curated
naproxen,methotrexate,7258,,MAJOR,"Methotrexate toxicity (clearance falls)","NSAID reduces methotrexate excretion",curated
aspirin,methotrexate,1191,,MAJOR,"Methotrexate toxicity (clearance falls)","NSAID reduces methotrexate excretion",curated
naproxen,lisinopril,7258,29046,MODERATE,"Renal risk; reduced BP effect","NSAID blunts ACE inhibitor",curated
celecoxib,lisinopril,,29046,MODERATE,"Renal risk; reduced BP effect","NSAID blunts ACE inhibitor",curated
ibuprofen,furosemide,5640,,MODERATE,"Reduced diuretic effect","NSAID blunts loop diuretic",curated
naproxen,furosemide,7258,,MODERATE,"Reduced diuretic effect","NSAID blunts loop diuretic",curated
ibuprofen,ramipril,5640,,MODERATE,"Renal risk; reduced BP effect","NSAID blunts ACE inhibitor",curated
amiodarone,sotalol,,,"MAJOR","QT prolongation risk","Both prolong QT interval",curated
clarithromycin,sotalol,,,"MAJOR","QT prolongation risk","Macrolide + sotalol both prolong QT",curated
azithromycin,amiodarone,18631,,MAJOR,"QT prolongation risk","Both prolong QT interval",curated
ciprofloxacin,amiodarone,2551,,MAJOR,"QT prolongation risk","Both prolong QT interval",curated
ciprofloxacin,sotalol,2551,,MAJOR,"QT prolongation risk","Both prolong QT interval",curated
levofloxacin,amiodarone,82122,,MAJOR,"QT prolongation risk","Both prolong QT interval",curated
erythromycin,amiodarone,,,"MAJOR","QT prolongation risk","Both prolong QT interval",curated
fluconazole,amiodarone,,,"MAJOR","QT prolongation + CYP inhibition","Both prolong QT; fluconazole inhibits amiodarone metabolism",curated
methadone,amiodarone,,,"MAJOR","QT prolongation risk","Both prolong QT interval",curated
methadone,ciprofloxacin,,2551,MAJOR,"QT prolongation risk","Both prolong QT interval",curated
escitalopram,amiodarone,,,"MAJOR","QT prolongation risk","SSRI + amiodarone both prolong QT",curated
ondansetron,amiodarone,,,"MAJOR","QT prolongation risk","Both prolong QT interval",curated
citalopram,omeprazole,,7646,MODERATE,"QT prolongation (citalopram levels rise)","Omeprazole inhibits citalopram metabolism",curated
sertraline,tramadol,,,"MAJOR","Serotonin syndrome risk","SSRI + opioid both raise serotonin",curated
fluoxetine,tramadol,,,"MAJOR","Serotonin syndrome risk","SSRI + opioid both raise serotonin",curated
paroxetine,tramadol,,,"MAJOR","Serotonin syndrome risk","SSRI + opioid both raise serotonin",curated
escitalopram,tramadol,,,"MAJOR","Serotonin syndrome risk","SSRI + opioid both raise serotonin",curated
sertraline,sumatriptan,,,"MAJOR","Serotonin syndrome risk","SSRI + triptan both raise serotonin",curated
fluoxetine,sumatriptan,,,"MAJOR","Serotonin syndrome risk","SSRI + triptan both raise serotonin",curated
venlafaxine,tramadol,,,"MAJOR","Serotonin syndrome risk","SNRI + opioid both raise serotonin",curated
venlafaxine,sumatriptan,,,"MAJOR","Serotonin syndrome risk","SNRI + triptan both raise serotonin",curated
fluoxetine,phenelzine,,,"CONTRAINDICATED","Serotonin syndrome","MAOI + SSRI combination",curated
sertraline,phenelzine,,,"CONTRAINDICATED","Serotonin syndrome","MAOI + SSRI combination",curated
paroxetine,selegiline,,,"MAJOR","Serotonin syndrome risk","MAOI + SSRI combination",curated
tramadol,phenelzine,,,"CONTRAINDICATED","Serotonin syndrome","MAOI + opioid combination",curated
linezolid,sertraline,,,"MAJOR","Serotonin syndrome (linezolid is an MAOI)","MAOI + SSRI combination",curated
